Automation|25 years|Bash
Git/GitOps|15 years|Branching,merging,multiple teams,external vendors,submodules 
Linux|25 years|RHEL,Debian,Ubuntu,kickstart,PXE,  LDAP,SSSD,RPM/Deb package creation,  quotas,extended permissions, clustering,NFS,Samba
Windows|25 years|Server (2008  2016),Windows client automated deployment (7,8,10,11),Active Directory,Group Policy,WSUS,Certificate Services,AD DNS,AD DHCP,complex multiple forest and domain setups 
Cyber Security|25 years|PCI Compliance (tier 1 implementations),OpenVAS<,Lynis,security hardening,audits,breach response and mitigation, patch and vulnerability management. AppArmor, SeLinux, Centrify, Tripwire, Integrit, OSSEC 
Virtualization|25 years|VmWare(workstation/ESXI/Vsphere),Parallels,HyperV,KVM,Xen
Data-center/Hosting Networking|25 years|Barracuda,Linux Virtual Server(LVS),HAProxy,Ubiquiti Unifi,Opnsense,Pfsense,DNS,DHCP,IPAM,PXE,IPS,IDS,GRE,Wireguard,OpenVPN,Nebula,Tailscale,RADIUS. Layer2 data center/campus/access networking.
Storage|25 years|Netapp,EMC,EqualLogic,3par,MSA,TrueNAS/ZFS,iscsi,S3,Azure Storage
Monitoring|25 years|Uptime Kuma,Librenms,Zabbix,Zenoss,Nagios,Elasticsearch,Logstash,Kibana(ELK)
Ticket / incident / project management| 25 years| Jira,ServiceNow,HP Service Desk
Containerization|15 years|LXC,Docker,OpenVZ
